names,Date,Kicker Name,Kicker Position,(Lefty RIghty),Kicker Ability %,Quad. of Ball,GoalKeeper,Goalie %,Goalie Height (m),Kickers Steps,Quad. of Goalie,Missed/Saved/Goal,Spread(at the time
Jassenia,29/03/2022,luca modric ,central midfield ,R,81,1,Svetoslav Vutsov,50.0,1.9,8,5,goal,-1
Jassenia,01/07/2018,luca modric ,central midfield ,R,81,6,Kasper Schmeichel,21.0,1.89,10,6,saved,0
Jassenia,12/12/2023,luca modric ,central midfield ,R,81,5,Frederik Rönnow,17.0,1.88,8,4,saved,0
Jassenia,24/06/2024,luca modric ,central midfield ,R,81,4,Gianluigi Donnarumma,25.0,1.96,5,4,saved,0
Jassenia,08/02/2023,luca modric ,central midfield ,R,81,5,Mohamed El Shenawy,18.0,1.91,6,5,saved,1
Jassenia,08/10/2021,luca modric ,central midfield ,R,81,4,Neofytos Michail,22.0,1.91,2,4,saved,0
Jassenia,08/12/2020,Cristiano ronaldo,Centre Forward,R,81,5,Marc-André ter Stegen,16.0,1.87,5,6,Goal,0
Jassenia,07/08/2020,Cristiano ronaldo,Centre Forward,R,81,6,Anthony Lopes,13.0,1.84,7,4,Goal,-1
Jassenia,12/03/2019,Cristiano ronaldo,Centre Forward,R,81,4,Jan Oblak,21.0,1.88,7,6,Goal,0
Jassenia,11/04/2018,Cristiano ronaldo,Centre Forward,R,81,3,Gianluigi Buffon,26.0,1.92,5,6,Goal,-3
Jassenia,17/10/2017,Cristiano ronaldo,Centre Forward,R,81,6,Hugo Lloris,10.0,1.88,5,4,Goal,-1
